"","USGS_Station_Number","Field_Name","estimated","frozen","storm","unique_storm_number","storm_start","storm_end","runoff_volume","peak_discharge","nitrate_plus_nitrite_load_pounds","ammonia_plus_ammonium_load_pounds","total_Kjeldahl_nitrogen_unfiltered_load_pounds","total_nitrogen_load_pounds","organic_nitrogen_load_pounds","total_Kjeldahl_nitrogen_filtered_load_pounds","nitrate_plus_nitrite_conc_mgL","ammonia_plus_ammonium_conc_mgL","total_Kjeldahl_nitrogen_unfiltered_conc_mgL","total_nitrogen_conc_mgL","organic_nitrogen_conc_mgL","total_Kjeldahl_nitrogen_filtered_conc_mgL","nitrate_plus_nitrite_yield_pounds_per_acre","ammonia_plus_ammonium_yield_pounds_per_acre","total_Kjeldahl_nitrogen_unfiltered_yield_pounds_per_acre","total_nitrogen_yield_pounds_per_acre","organic_nitrogen_yield_pounds_per_acre","total_Kjeldahl_nitrogen_filtered_yield_pounds_per_acre","ProjectName","StudyPeriod","UseableYears","Ongoing","Monitoring","State","County","LAT_approx","LONG_approx","FarmEnterprise","CropRotation","LandCover","Tillage","Manure","Tile","BasinArea_ac","SoilType","HydrologicGroup","DrainageClass","MeanSlope_per","IncludeAverages","Notes","event_n","MajorWatershed_HUC8","Watershed_HUC10","Watershed_HUC12","HUC12","area_ft2","runoff_in","water_year","month"
"946","USGS-435441087463900","K5","Estimated","Frozen","Storm","2008-16",2008-03-26 16:00:00,2008-03-26 22:00:00,11.1,0.0015,3.45e-05,0.00331,0.00497,0.00501,0.00166,NA,0.1,4.8,7.2,7.25,2.4,NA,2.27e-06,0.000218,0.000327,0.000329,0.000109,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.000201174423662462,"2008",3
"947","USGS-435441087463900","K5","Measured","Non-Frozen","Storm","2008-17",2008-04-09 02:28:00,2008-04-09 09:00:00,1128,0.148,1.63,0.239,0.824,2.45,0.584,NA,23.1,3.4,11.7,34.8,8.3,NA,0.107,0.0157,0.0542,0.161,0.0384,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0204436711613745,"2008",4
"948","USGS-435441087463900","K5","Measured","Non-Frozen","Storm","2008-18",2008-04-10 22:30:00,2008-04-11 19:00:00,19620,1.156,15.3,5.02,16.5,31.8,11.5,NA,12.5,4.1,13.5,26,9.4,NA,1.01,0.33,1.09,2.09,0.757,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.355589386689865,"2008",4
"949","USGS-435441087463900","K5","Measured","Non-Frozen","Storm","2008-19",2008-04-25 23:12:00,2008-04-26 08:00:00,23880,4.752,3.88,4.92,20.3,24.1,15.4,NA,2.6,3.3,13.6,16.2,10.3,NA,0.255,0.324,1.33,1.59,1.01,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.432796868203567,"2008",4
"950","USGS-435441087463900","K5","Measured","Non-Frozen","Storm","2008-20",2008-06-08 17:43:00,2008-06-08 19:45:00,663,0.2522,0.0331,0.0356,0.215,0.248,0.18,NA,0.8,0.86,5.2,6,4.34,NA,0.00218,0.00234,0.0142,0.0163,0.0118,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.012016093953893,"2008",6
"951","USGS-435441087463900","K5","Measured","Non-Frozen","Storm","2008-21",2008-06-08 23:45:00,2008-06-09 12:00:00,23000,2.7,1.87,1.64,9.62,11.5,7.98,NA,1.3,1.14,6.7,8,5.56,NA,0.123,0.108,0.633,0.756,0.525,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.416847904886182,"2008",6
"952","USGS-435441087463900","K5","Measured","Non-Frozen","Storm","2008-22",2008-06-12 23:57:00,2008-06-13 14:00:00,132500,22.54,4.96,12.3,67.8,72.8,55.5,NA,0.6,1.49,8.2,8.8,6.71,NA,0.327,0.811,4.46,4.79,3.65,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,2.40140640858344,"2008",6
"953","USGS-435441087463900","K5","Measured","Non-Frozen","Storm","2008-23",2008-07-16 20:38:00,2008-07-17 03:12:00,26790,10.65,5.02,2.33,9.53,14.6,7.21,NA,3,1.39,5.7,8.7,4.31,NA,0.33,0.153,0.627,0.957,0.474,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.485537190082645,"2008",7
"954","USGS-435441087463900","K5","Measured","Frozen","Storm","2009-1",2009-02-07 19:45:00,2009-02-08 14:00:00,16950,0.9688,0.0529,15.2,51.8,51.9,36.6,NA,0.1,14.4,49,49,34.6,NA,0.00348,1,3.41,3.41,2.41,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.307198782079165,"2009",2
"955","USGS-435441087463900","K5","Measured","Frozen","Storm","2009-1",2009-02-08 14:00:00,2009-02-09 18:00:00,7420,0.2732,0.0232,13.2,37.5,37.5,24.3,NA,0.1,28.5,81,81,52.5,NA,0.00152,0.869,2.47,2.47,1.6,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.134478758880673,"2009",2
"956","USGS-435441087463900","K5","Measured","Frozen","Storm","2009-1",2009-02-09 18:00:00,2009-02-10 13:30:00,15470,0.7784,0.0483,17.3,38.6,38.7,21.3,NA,0.1,17.9,40,40,22.1,NA,0.00318,1.14,2.54,2.54,1.4,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.280375525590837,"2009",2
"957","USGS-435441087463900","K5","Measured","Frozen","Storm","2009-1",2009-02-10 13:30:00,2009-02-11 09:01:00,22390,1.173,0.0699,23.1,48.9,49,25.9,NA,0.1,16.5,35,35,18.5,NA,0.0046,1.52,3.22,3.22,1.7,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.405792373495723,"2009",2
"958","USGS-435441087463900","K5","Measured","Frozen","Storm","2009-2",2009-02-11 16:00:00,2009-02-12 03:00:00,981.7,0.0711,0.00306,2.12,5.39,5.4,3.27,NA,0.1,34.6,88,88,53.4,NA,0.000202,0.14,0.355,0.355,0.215,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0177921560098594,"2009",2
"959","USGS-435441087463900","K5","Measured","Frozen","Storm","2009-3",2009-02-26 17:00:00,2009-02-27 15:40:00,5188,0.2332,0.389,1.3,3.01,3.4,1.72,NA,1.2,4,9.3,10.5,5.3,NA,0.0256,0.0852,0.198,0.224,0.113,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0940263882847615,"2009",2
"960","USGS-435441087463900","K5","Estimated","Frozen","Storm","2009-4",2009-03-04 22:00:00,2009-03-05 05:00:00,560.2,0.04511,0.00175,0.448,0.962,0.964,0.514,NA,0.1,12.8,27.5,27.6,14.7,NA,0.000115,0.0295,0.0633,0.0634,0.0338,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0101529650572713,"2009",3
"961","USGS-435441087463900","K5","Estimated","Frozen","Storm","2009-5",2009-03-05 17:00:00,2009-03-06 08:38:00,12160,0.7548,0.038,9.72,20.9,20.9,11.2,NA,0.1,12.8,27.5,27.6,14.7,NA,0.0025,0.639,1.37,1.38,0.734,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.220385674931129,"2009",3
"962","USGS-435441087463900","K5","Measured","Frozen","Storm","2009-5",2009-03-06 08:38:00,2009-03-07 04:00:00,19500,1.068,0.0609,15.6,33.5,33.5,17.9,NA,0.1,12.8,27.5,27.6,14.7,NA,0.004,1.03,2.2,2.21,1.18,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.353414528055676,"2009",3
"963","USGS-435441087463900","K5","Measured","Frozen","Storm","2009-6",2009-03-07 17:00:00,2009-03-08 01:00:00,636.3,0.04246,0.00199,0.56,1.1,1.1,0.54,NA,0.1,14.1,27.7,27.8,13.6,NA,0.000131,0.0368,0.0724,0.0725,0.0355,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.011532187907786,"2009",3
"964","USGS-435441087463900","K5","Measured","Frozen","Storm","2009-7",2009-03-10 08:33:00,2009-03-11 12:31:00,40670,0.7919,3.81,38.6,86.3,90.1,47.7,NA,1.5,15.2,34,35.5,18.8,NA,0.251,2.54,5.68,5.93,3.14,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.73709583877048,"2009",3
"965","USGS-435441087463900","K5","Estimated","Frozen","Storm","2009-8",2009-03-12 19:00:00,2009-03-13 01:00:00,1184,0.1095,0.0037,0.873,1.35,1.36,0.481,NA,0.1,11.8,18.3,18.4,6.5,NA,0.000243,0.0574,0.089,0.0893,0.0316,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0214586051906626,"2009",3
"966","USGS-435441087463900","K5","Estimated","Frozen","Storm","2009-9",2009-03-13 17:00:00,2009-03-14 03:00:00,1931,0.1313,0.00603,1.42,2.21,2.21,0.784,NA,0.1,11.8,18.3,18.4,6.5,NA,0.000397,0.0936,0.145,0.146,0.0516,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0349971001884877,"2009",3
"967","USGS-435441087463900","K5","Measured","Frozen","Storm","2009-10",2009-03-14 16:00:00,2009-03-14 21:00:00,1145,0.146,0.00357,0.843,1.31,1.31,0.465,NA,0.1,11.8,18.3,18.4,6.5,NA,0.000235,0.0555,0.086,0.0863,0.0306,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0207517761345513,"2009",3
"968","USGS-435441087463900","K5","Measured","Non-Frozen","Storm","2009-11",2009-04-26 07:03:00,2009-04-27 02:44:00,15690,1.078,15.9,3.43,11.7,27.5,8.23,NA,16.2,3.5,11.9,28.1,8.4,NA,1.04,0.226,0.767,1.81,0.541,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.284362766420183,"2009",4
"969","USGS-435441087463900","K5","Estimated","Non-Frozen","Storm","2010-1",2009-12-25 22:51:00,2009-12-26 11:00:00,3194,0.1994,0.00997,20.8,26.4,26.4,5.56,NA,0.1,104,132,132,27.9,NA,0.000656,1.37,1.74,1.74,0.366,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0578874873133246,"2010",12
"970","USGS-435441087463900","K5","Measured","Frozen","Storm","2010-2",2010-01-24 06:00:00,2010-01-25 06:01:00,43210,1.78,0.135,35.3,72.3,72.4,37,NA,0.1,13.1,26.8,26.8,13.7,NA,0.00887,2.32,4.76,4.76,2.43,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.783130346527476,"2010",1
"971","USGS-435441087463900","K5","Measured","Frozen","Storm","2010-3",2010-03-06 20:00:00,2010-03-07 05:00:00,1922,0.197,0.006,12.5,15.9,15.9,3.35,NA,0.1,104,132,132,27.9,NA,0.000395,0.825,1.05,1.05,0.22,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0348339857909236,"2010",3
"972","USGS-435441087463900","K5","Measured","Frozen","Storm","2010-4",2010-03-07 18:00:00,2010-03-08 07:00:00,6573,0.5768,0.0205,25.3,31.7,31.7,6.37,NA,0.1,61.6,77.1,77.2,15.5,NA,0.00135,1.66,2.08,2.08,0.419,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.11912788168769,"2010",3
"973","USGS-435441087463900","K5","Measured","Frozen","Storm","2010-5",2010-03-08 17:00:00,2010-03-09 03:00:00,2941,0.2241,0.00918,8.9,10.3,10.3,1.39,NA,0.1,48.5,56.1,56.1,7.59,NA,0.000604,0.586,0.677,0.678,0.0917,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0533021603595766,"2010",3
"974","USGS-435441087463900","K5","Estimated","Frozen","Storm","2010-6",2010-03-09 19:00:00,2010-03-10 03:00:00,616.5,0.05289,0.00192,1.87,2.16,2.16,0.292,NA,0.1,48.5,56.1,56.1,7.59,NA,0.000127,0.123,0.142,0.142,0.0192,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0111733362331448,"2010",3
"975","USGS-435441087463900","K5","Measured","Frozen","Storm","2010-7",2010-03-10 08:52:00,2010-03-11 01:00:00,3084,0.1647,0.0385,2.68,4.27,4.31,1.6,NA,0.2,13.9,22.2,22.4,8.3,NA,0.00253,0.176,0.281,0.284,0.105,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0558938668986516,"2010",3
"976","USGS-435441087463900","K5","Measured","Non-Frozen","Storm","2010-8",2010-04-07 04:00:00,2010-04-07 07:51:00,1078,0.241,0.982,0.498,1.13,2.11,0.632,NA,14.6,7.4,16.8,31.4,9.4,NA,0.0646,0.0328,0.0744,0.139,0.0416,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0195374800637959,"2010",4
"977","USGS-435441087463900","K5","Measured","Non-Frozen","Storm","2010-9",2010-04-08 14:00:00,2010-04-08 18:00:00,1149,0.179,1.31,0.373,0.832,2.14,0.459,NA,18.2,5.2,11.6,29.8,6.4,NA,0.0859,0.0245,0.0548,0.141,0.0302,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0208242714223575,"2010",4
"978","USGS-435441087463900","K5","Measured","Non-Frozen","Storm","2010-10",2010-04-25 09:00:00,2010-04-25 18:00:00,16670,3.765,17.9,5.57,14.5,32.4,8.9,NA,17.2,5.35,13.9,31.1,8.55,NA,1.18,0.366,0.952,2.13,0.585,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.302124111932724,"2010",4
"979","USGS-435441087463900","K5","Measured","Non-Frozen","Storm","2010-11",2010-05-13 10:00:00,2010-05-13 17:00:00,2612,0.3156,4.66,0.0261,0.595,5.26,0.569,NA,28.6,0.16,3.65,32.2,3.49,NA,0.307,0.00172,0.0392,0.346,0.0374,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0473394229375091,"2010",5
"980","USGS-435441087463900","K5","Measured","Non-Frozen","Storm","2010-12",2010-06-15 23:30:00,2010-06-16 08:00:00,5951,0.7838,1.34,0.0892,1.67,3.01,1.58,NA,3.6,0.24,4.5,8.1,4.26,NA,0.088,0.00587,0.11,0.198,0.104,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.107854864433812,"2010",6
"981","USGS-435441087463900","K5","Measured","Non-Frozen","Storm","2010-13",2010-07-15 05:40:00,2010-07-15 12:00:00,2102,0.3444,3.77,0.0564,0.735,4.5,0.679,NA,28.7,0.43,5.6,34.3,5.17,NA,0.248,0.00371,0.0484,0.296,0.0446,NA,"Saxon","WY2007-WY2011",5,"No","Paired","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,662112,0.0380962737422068,"2010",7
