"WQ_event_id","Field_Name","Event_Date","Calendar_Year","Month_Number","Month","Season","frozen","Ratio","P_Load_lb","Sediment_Load_lb","P_per_Sediment_lb_per_ton"
773,"R3",2004-05-22,2004,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0315,13.6,4.63235294117647
774,"R3",2004-05-30,2004,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.348,61.2,11.3725490196078
775,"R3",2004-05-31,2004,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.02,1.34,29.8507462686567
776,"R3",2004-06-10,2004,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0985,6.59,29.8937784522003
777,"R3",2004-06-12,2004,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.137,19.7,13.9086294416244
778,"R3",2004-06-17,2004,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.35,242,11.1570247933884
779,"R3",2005-01-12,2005,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",8.3,23.1,718.614718614719
780,"R3",2005-02-03,2005,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",43.5,37.3,2332.43967828418
781,"R3",2005-02-12,2005,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",65.2,976,133.606557377049
782,"R3",2005-02-24,2005,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",3.26,7,931.428571428571
783,"R3",2005-02-25,2005,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",4.14,11.5,720
784,"R3",2005-03-04,2005,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",2.2,11.2,392.857142857143
785,"R3",2005-03-05,2005,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",1.35,8.39,321.81168057211
786,"R3",2005-06-12,2005,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0258,10.1,5.10891089108911
787,"R3",2005-09-19,2005,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0414,16.9,4.89940828402367
788,"R3",2006-03-09,2006,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",7.21,265,54.4150943396226
789,"R3",2006-04-16,2006,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.00292,5.63,1.03730017761989
790,"R3",2007-03-01,2007,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",1.76,0.739,4763.19350473613
791,"R3",2007-03-09,2007,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",29.5,2150,27.4418604651163
792,"R3",2007-03-12,2007,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",2.18,211,20.6635071090047
793,"R3",2007-07-04,2007,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",6.75,5810,2.32358003442341
794,"R3",2007-07-18,2007,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.77,1150,3.07826086956522
795,"R3",2007-08-22,2007,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.329,30.9,21.294498381877
796,"R3",2007-08-27,2007,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0789,14.5,10.8827586206897
797,"R3",2008-01-07,2008,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.252,0.229,2200.87336244541
798,"R3",2008-03-03,2008,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",13.6,55,494.545454545455
799,"R3",2008-03-12,2008,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",17.1,262,130.534351145038
800,"R3",2008-03-15,2008,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.248,3.38,146.745562130178
801,"R3",2008-03-16,2008,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0744,1.49,99.8657718120805
802,"R3",2008-03-18,2008,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0708,1.95,72.6153846153846
803,"R3",2008-03-19,2008,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0745,2.36,63.135593220339
804,"R3",2008-04-25,2008,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.316,74.8,8.44919786096257
805,"R3",2008-05-02,2008,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0282,6.12,9.2156862745098
806,"R3",2008-05-30,2008,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0203,5.4,7.51851851851852
807,"R3",2008-06-05,2008,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.62,935,3.46524064171123
808,"R3",2008-07-10,2008,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.665,246,5.40650406504065
809,"R3",2008-07-10,2008,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",2.88,1690,3.40828402366864
810,"R3",2008-07-12,2008,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.455,87.8,10.3644646924829
811,"R3",2008-07-20,2008,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.132,24.9,10.6024096385542
812,"R3",2008-12-27,2008,12,"Dec","Post-growing season","Frozen","Total phosphorus / suspended sediment",5.1,143,71.3286713286713
813,"R3",2009-02-07,2009,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",115,598,384.615384615385
814,"R3",2009-02-25,2009,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",26.7,2060,25.9223300970874
815,"R3",2009-03-07,2009,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",19.5,386,101.036269430052
816,"R3",2009-03-08,2009,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",24.5,809,60.5686032138443
817,"R3",2009-03-10,2009,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",9.55,304,62.8289473684211
818,"R3",2009-06-08,2009,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.00517,1.22,8.47540983606557
819,"R3",2009-06-19,2009,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.559,214,5.22429906542056
820,"R3",2009-07-24,2009,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",5.34,1450,7.36551724137931
821,"R3",2009-07-28,2009,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",2.5,125,40
822,"R3",2009-08-27,2009,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.239,30.7,15.5700325732899
823,"R3",2010-01-24,2010,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.571,0.639,1787.16744913928
824,"R3",2010-03-09,2010,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",19,793,47.9192938209332
825,"R3",2010-06-06,2010,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0233,3.35,13.910447761194
826,"R3",2010-06-23,2010,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.364,135,5.39259259259259
827,"R3",2010-06-26,2010,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.139,30.2,9.20529801324503
828,"R3",2010-08-08,2010,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",8.92,246,72.520325203252
829,"R3",2010-08-13,2010,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.19,130,18.3076923076923
830,"RE1",2015-03-09,2015,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.344,4.96,138.709677419355
831,"RE1",2015-03-10,2015,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.321,5.98,107.357859531773
832,"RE1",2015-03-11,2015,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0535,1.54,69.4805194805195
833,"RE1",2015-09-18,2015,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.00404,0.949,8.51422550052687
834,"RE1",2016-02-19,2016,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.371,7.72,96.1139896373057
835,"RE1",2016-02-20,2016,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0145,0.154,188.311688311688
836,"RE1",2016-08-20,2016,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.00839,0.38,44.1578947368421
837,"RE1",2017-01-16,2017,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",3.84,39.4,194.92385786802
838,"RE1",2017-01-19,2017,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",2.23,24.8,179.838709677419
839,"RE1",2017-06-29,2017,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.027,12,4.5
840,"RE1",2017-07-10,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.00763,3.49,4.37249283667622
841,"RE1",2017-07-27,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.00558,1.55,7.2
842,"RE1",2018-01-22,2018,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",8.9,53.8,330.855018587361
843,"RE1",2018-01-25,2018,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.184,0.221,1665.15837104072
844,"RE1",2018-02-15,2018,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.734,0.58,2531.03448275862
845,"RE1",2018-02-19,2018,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",3.21,60.3,106.467661691542
846,"RE1",2018-02-22,2018,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.947,4.44,426.576576576577
847,"RE1",2018-02-24,2018,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",3.22,23,280
848,"RE1",2018-06-19,2018,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.00484,2.48,3.90322580645161
849,"RE1",2018-09-03,2018,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0228,8.72,5.22935779816514
850,"RE1",2018-09-20,2018,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.19,85.9,4.42374854481956
851,"RE1",2018-10-02,2018,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0474,18.9,5.01587301587302
852,"RE1",2018-12-27,2018,12,"Dec","Post-growing season","Frozen","Total phosphorus / suspended sediment",0.0897,0.392,457.65306122449
853,"RE1",2019-02-03,2019,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",1.75,5.15,679.611650485437
854,"RE1",2019-02-23,2019,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",2.08,7.85,529.936305732484
855,"RE1",2020-05-23,2020,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.00606,3.3,3.67272727272727
856,"RE5",2015-06-15,2015,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0355,6.82,10.4105571847507
857,"RE5",2015-09-18,2015,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0106,2.35,9.02127659574468
858,"RE5",2016-02-19,2016,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.999,9.74,205.133470225873
859,"RE5",2016-07-23,2016,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.00247,0.212,23.3018867924528
860,"RE5",2016-07-28,2016,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0019,0.221,17.1945701357466
861,"RE5",2016-08-19,2016,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.00487,0.763,12.7653997378768
862,"RE5",2016-08-20,2016,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0414,10.2,8.11764705882353
863,"RE5",2017-01-16,2017,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",10.4,116,179.310344827586
864,"RE5",2017-05-21,2017,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0508,18.2,5.58241758241758
865,"RE5",2017-06-29,2017,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.87,667,5.6071964017991
866,"RE5",2017-07-10,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0414,2.4,34.5
867,"RE5",2017-07-12,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.3,287,9.05923344947735
868,"RE5",2017-07-16,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.16,19.6,16.3265306122449
869,"RE5",2017-07-20,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.37,322,8.50931677018634
870,"RE5",2017-07-27,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.159,18.6,17.0967741935484
871,"RE5",2018-01-22,2018,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",15.2,66.9,454.40956651719
872,"RE5",2018-01-26,2018,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",2.92,4.07,1434.88943488943
873,"RE5",2018-02-15,2018,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",2.63,16.8,313.095238095238
874,"RE5",2018-02-19,2018,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",10.3,240,85.8333333333333
875,"RE5",2018-06-19,2018,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.00109,0.192,11.3541666666667
876,"RE5",2018-09-03,2018,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0087,1.74,10
877,"RE5",2018-09-20,2018,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.892,326,5.47239263803681
878,"RE5",2018-10-02,2018,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.167,11.1,30.0900900900901
879,"RE5",2018-10-06,2018,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.108,5.2,41.5384615384615
880,"RE5",2018-10-09,2018,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.051,2.53,40.3162055335968
881,"RE5",2018-12-27,2018,12,"Dec","Post-growing season","Frozen","Total phosphorus / suspended sediment",0.102,1.37,148.905109489051
882,"RE5",2019-02-03,2019,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",2.06,7.02,586.894586894587
883,"RE5",2019-02-23,2019,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",1.17,5.78,404.844290657439
884,"RE5",2019-09-13,2019,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0709,9.77,14.5138178096213
885,"RE5",2019-10-02,2019,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0945,5.15,36.6990291262136
886,"RE5",2019-10-05,2019,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0262,2.32,22.5862068965517
887,"RE5",2020-04-29,2020,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.00749,0.344,43.546511627907
888,"RE5",2020-05-23,2020,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.331,70.8,9.35028248587571
889,"RS1",2019-02-24,2019,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0481,1.17,82.2222222222222
890,"RS1",2019-03-12,2019,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",2.19,94.1,46.5462274176408
891,"RS1",2019-07-06,2019,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0476,1.49,63.8926174496644
892,"RS1",2019-08-04,2019,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.08,1.83,87.431693989071
893,"RS1",2019-08-06,2019,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.349,29.3,23.8225255972696
894,"RS1",2019-08-11,2019,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0217,0.372,116.666666666667
895,"RS1",2019-12-29,2019,12,"Dec","Post-growing season","Frozen","Total phosphorus / suspended sediment",2.25,93,48.3870967741936
896,"RS1",2020-02-02,2020,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0162,0.362,89.5027624309392
897,"RS1",2020-03-09,2020,3,"Mar","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0137,0.3,91.3333333333333
898,"RS1",2020-08-28,2020,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.3,9.97,60.1805416248746
899,"RS1",2020-10-22,2020,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0268,6.09,8.80131362889984
900,"RS1",2021-03-03,2021,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0341,0.784,86.9897959183673
901,"RS1",2021-03-08,2021,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0519,1.4,74.1428571428571
902,"RS1",2021-07-15,2021,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0649,23,5.64347826086957
903,"RS1",2021-08-07,2021,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0326,5.61,11.6221033868093
904,"RS1",2021-12-15,2021,12,"Dec","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0074,0.448,33.0357142857143
905,"RS1",2022-02-20,2022,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0356,1.12,63.5714285714286
906,"RS1",2022-02-28,2022,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.011,0.199,110.552763819095
907,"RS1",2022-03-05,2022,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.73,449,3.25167037861915
908,"RS1",2022-03-19,2022,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.12,82.8,2.89855072463768
909,"RS1",2022-07-23,2022,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0372,4.13,18.0145278450363
910,"RS2",2019-02-03,2019,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.118,35.8,6.59217877094972
911,"RS2",2019-03-13,2019,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.423,17.9,47.2625698324022
912,"RS2",2019-07-06,2019,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.728,633,2.3001579778831
913,"RS2",2019-08-06,2019,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0368,28.2,2.60992907801418
914,"RS2",2019-08-11,2019,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0125,3.59,6.96378830083566
915,"RS2",2019-09-13,2019,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.033,12.3,5.36585365853658
916,"RS2",2019-10-01,2019,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.11,22.7,9.69162995594714
917,"RS2",2019-10-05,2019,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0613,16.4,7.47560975609756
918,"RS2",2019-12-29,2019,12,"Dec","Post-growing season","Frozen","Total phosphorus / suspended sediment",0.0848,14.8,11.4594594594595
919,"RS2",2020-03-01,2020,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.236,7.34,64.3051771117166
920,"RS2",2020-07-09,2020,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0342,8.25,8.29090909090909
921,"RS2",2021-03-03,2021,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0814,2.1,77.5238095238095
922,"RS2",2021-07-15,2021,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0105,0.277,75.812274368231
923,"RS2",2021-08-07,2021,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0226,1.1,41.0909090909091
924,"RS2",2022-02-20,2022,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0611,1.22,100.16393442623
925,"RS2",2022-02-28,2022,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0483,0.274,352.554744525547
926,"RS2",2022-03-05,2022,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.547,98.6,11.0953346855984
927,"RS2",2022-03-19,2022,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0422,0.883,95.5832389580974
928,"RS2",2022-06-15,2022,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0575,8.18,14.0586797066015
929,"RS2",2023-03-07,2023,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.00507,0.756,13.4126984126984
930,"WF1",2010-12-30,2010,12,"Dec","Post-growing season","Frozen","Total phosphorus / suspended sediment",0.0541,0.688,157.267441860465
931,"WF1",2011-02-16,2011,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",2.84,142,40
932,"WF1",2011-04-10,2011,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0194,0.691,56.150506512301
933,"WF1",2011-04-26,2011,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.107,6.59,32.4734446130501
934,"WF1",2011-06-18,2011,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0517,11.1,9.31531531531532
935,"WF1",2011-07-11,2011,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.482,30.2,31.9205298013245
936,"WF1",2011-07-16,2011,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",3.17,370,17.1351351351351
937,"WF1",2011-08-17,2011,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.757,78.7,19.2376111817027
938,"WF1",2012-03-12,2012,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",4.21,38.7,217.571059431525
939,"WF1",2012-05-24,2012,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",5.29,2550,4.14901960784314
940,"WF1",2012-06-19,2012,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",3.49,2040,3.42156862745098
941,"WF1",2012-06-20,2012,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",4.74,2820,3.36170212765957
942,"WF1",2012-07-21,2012,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.222,12.3,36.0975609756098
943,"WF1",2012-08-24,2012,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.357,43.6,16.3761467889908
944,"WF1",2013-04-14,2013,4,"Apr","Pre-growing season","Frozen","Total phosphorus / suspended sediment",7.02,58.5,240
945,"WF1",2013-06-15,2013,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",22.3,15300,2.91503267973856
946,"WF1",2013-06-21,2013,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",22.2,20000,2.22
947,"WF1",2013-06-22,2013,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.87,933,4.0085744908896
948,"WF1",2014-04-27,2014,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0717,4.97,28.8531187122736
949,"WF1",2014-04-28,2014,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.135,8.45,31.9526627218935
950,"WF1",2014-04-29,2014,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0855,2.24,76.3392857142857
951,"WF1",2014-05-09,2014,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.255,28.5,17.8947368421053
952,"WF1",2014-05-12,2014,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",1.32,241,10.954356846473
953,"WF1",2014-05-19,2014,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",1.17,138,16.9565217391304
954,"WF1",2014-06-07,2014,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.111,19.1,11.6230366492147
955,"WF1",2014-06-15,2014,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",7.99,4080,3.91666666666667
956,"WF1",2014-06-19,2014,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",17.3,11800,2.93220338983051
957,"WF1",2014-06-28,2014,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",3.42,11000,0.621818181818182
958,"WF1",2014-08-29,2014,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.02,64,31.875
959,"WF1",2014-09-01,2014,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.309,19.9,31.0552763819096
960,"WF1",2014-09-04,2014,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",4.18,2510,3.33067729083665
961,"WF1",2014-09-10,2014,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.31,47.4,13.0801687763713
962,"WF1",2014-09-10,2014,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.224,16.6,26.9879518072289
963,"WF1",2015-05-08,2015,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",1.87,966,3.87163561076605
964,"WF1",2015-05-17,2015,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",3.01,1630,3.69325153374233
965,"WF1",2015-05-17,2015,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",18.3,12300,2.97560975609756
966,"WF1",2015-06-07,2015,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.845,445,3.79775280898876
967,"WF1",2015-06-17,2015,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",11.3,6960,3.24712643678161
968,"WF1",2015-07-06,2015,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",13.6,8750,3.10857142857143
969,"WF1",2015-07-13,2015,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.729,83.6,17.4401913875598
970,"WF1",2015-07-13,2015,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",2.36,882,5.35147392290249
971,"WF1",2015-07-18,2015,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",2.04,640,6.375
972,"WF1",2015-08-07,2015,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.666,0.653,2039.81623277182
973,"WF1",2015-08-18,2015,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",6.95,1630,8.52760736196319
974,"WF1",2015-08-23,2015,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.28,202,12.6732673267327
975,"WF1",2015-09-17,2015,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.531,50.7,20.9467455621302
976,"WF1",2015-10-31,2015,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.121,1.6,151.25
977,"WF1",2015-11-12,2015,11,"Nov","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",2.62,14.9,351.677852348993
978,"WF1",2015-12-14,2015,12,"Dec","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.686,39.3,34.910941475827
