"USGS_Station_Number","Field_Name","discrete","estimated","estimated_flow_fraction","frozen","storm","unique_storm_number","n_sub_flow_events","Q_start","Q_end","runoff_volume","peak_discharge","rain_mm","duration_hr","Ievent_mm_hr","I5_mm_hr","I10_mm_hr","I15_mm_hr","I30_mm_hr","I60_mm_hr","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1_mm","ARFdays2_mm","ARFdays7_mm","ARFdays14_mm","suspended_sediment_conc_mgL","suspended_sediment_load_pounds","suspended_sediment_yield_pounds_per_acre","total_dissolved_solids_conc_mgL","total_dissolved_solids_load_pounds","total_dissolved_solids_yield_pounds_per_acre","orthophosphate_conc_mgL","orthophosphate_load_pounds","orthophosphate_yield_pounds_per_acre","total_phosphorus_unfiltered_conc_mgL","total_phosphorus_unfiltered_load_pounds","total_phosphorus_unfiltered_yield_pounds_per_acre","remark_suspended_sediment","remark_total_dissolved_solids","remark_orthophosphate","remark_total_phosphorus_unfiltered","WQ_event_id","BasinArea_ac","area_ft2","runoff_mm","Monitoring","FarmEnterprise","CropRotation","LandCover","LandCover_Updated","Tile","Tile_Notes","SoilType","Hydrologic_Group","DrainageClass","MeanSlope_per","Clay_Fraction","Water_Year","Season","Tillage_Basin_Coverage","Tillage_Total","Tillage_Fall","Tillage_Spring","Tillage_Summer","Tillage_Summer_Previous","Crop_Basin_Coverage","Previous_PerennialFrac","Current_PerennialFrac","Residue_Fall_Frac","Residue_Spring_Frac","PerennialFrac","Crop_Source","Tillage_Passes","Tillage_Window","Residue_Frac","Residue"
"USGS-434244090470801","JF2",0,0,0,"Frozen","Storm","2012-8",1,2012-03-06 17:00:00,2012-03-07 02:15:00,13400,1.34,0,,,,,,,,,,,,0,0,0,0,168,141,8.78,158,132,8.26,1.76,1.47,0.092,2.75,2.3,0.144,,,,,136,16,696960,5.86019283746556,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2012,"Pre-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Current post-growing season + pre-growing season",1,"Yes"
"USGS-434244090470801","JF2",0,0,0,"Frozen","Storm","2013-1",1,2013-01-29 08:30:00,2013-01-30 11:15:00,6601,0.2416,4.318,5.583,0.77343,12.192,9.144,6.096,3.556,2.032,88.68,0.1241,94.68,0.1326,5.334,5.334,5.334,5.334,49,20.2,1.26,148,61,3.81,1.6,0.661,0.0413,2.31,0.952,0.0595,,,,,137,16,696960,2.88680096418733,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2013,"Pre-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Current post-growing season + pre-growing season",1,"Yes"
"USGS-434244090470801","JF2",0,0,0,"Frozen","Storm","2013-3",1,2013-03-09 22:15:00,2013-03-12 14:00:00,29020,0.8866,16.256,28.83,0.56388,6.096,4.572,5.08,4.064,3.556,263.3,0.4212,300,0.48,2.032,2.032,2.032,2.032,7,12.7,0.793,96,174,10.9,0.616,1.12,0.0698,0.95,1.72,0.108,,,,,138,16,696960,12.6912534435262,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2013,"Pre-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Current post-growing season + pre-growing season",1,"Yes"
"USGS-434244090470801","JF2",0,0,0,"Non-Frozen","Storm","2013-9",1,2013-04-10 03:45:00,2013-04-10 10:00:00,5694,1.858,32.004,6.583,4.86156,39.624,25.908,20.32,16.256,12.7,914.5,5.853,953,6.099,20.574,22.352,28.194,33.528,905,322,20.1,290,103,6.44,4.17,1.48,0.0926,9.84,3.5,0.219,,,,,139,16,696960,2.49014462809917,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2013,"Pre-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Current post-growing season + pre-growing season",1,"Yes"
"USGS-434244090470801","JF2",1,0,0,"Non-Frozen","Storm","2014-1",1,2013-10-05 07:15:00,2013-10-05 08:00:00,46.4,0.03948,38.608,1.917,20.1422,91.44,85.344,76.2,69.088,38.354,1628,44.28,1566,42.6,1.778,34.544,49.53,49.53,660,1.91,0.119,52,0.151,0.00941,2.56,0.00741,0.000463,4.27,0.0124,0.000773,,,,,140,16,696960,0.0202920110192837,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2014,"Post-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Previous growing season + current post-growing season",1,"Yes"
"USGS-434244090470801","JF2",0,0,0,"Frozen","Storm","2014-5",1,2014-03-27 16:30:00,2014-03-29 02:45:00,32390,2.05,22.86,10.75,2.126488,12.192,9.144,9.144,7.62,6.096,488.1,1.464,571.3,1.714,0,0,0,0.254,128,259,16.2,144,291,18.2,1.72,3.48,0.217,2.44,4.93,0.308,,,,,141,16,696960,14.1650482093664,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2014,"Pre-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Current post-growing season + pre-growing season",1,"Yes"
"USGS-434244090470801","JF2",0,0,0,"Non-Frozen","Storm","2014-9",1,2014-06-18 11:00:00,2014-06-18 12:15:00,766.1,0.7282,30.988,1.167,26.5684,152.4,135.636,105.664,57.912,30.48,1257,28.67,1234,28.14,0.254,41.148,41.402,64.262,1730,82.7,5.17,456,21.8,1.36,3.93,0.188,0.0117,6.26,0.299,0.0187,,,,,142,16,696960,0.335036845730028,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2014,"Growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Current crop",0,"Current pre-growing season + growing season",,
"USGS-434244090470801","JF2",0,0,0,"Non-Frozen","Storm","2014-10",1,2014-06-19 06:00:00,2014-06-19 12:30:00,29620,11.43,54.864,6.583,8.33374,64.008,62.484,60.96,47.244,35.306,1920,35.71,1906,35.45,35.306,39.37,76.454,99.06,1240,2300,144,220,407,25.4,3.72,6.88,0.43,9.47,17.5,1.09,,,,,143,16,696960,12.953650137741,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2014,"Growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Current crop",0,"Current pre-growing season + growing season",,
"USGS-434244090470801","JF2",0,0,0,"Frozen","Storm","2015-1",3,2015-03-08 17:45:00,2015-03-10 23:30:00,27430,1.458,0,,,,,,,,,,,,0,0,0,0,71.9,123,7.69,240,412,25.7,1.85,3.17,0.198,2.8,4.8,0.3,,,,,144,16,696960,11.9959022038567,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2015,"Pre-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Current post-growing season + pre-growing season",1,"Yes"
"USGS-434244090470801","JF2",1,0,0,"Non-Frozen","Storm","2015-3",1,2015-04-09 17:15:00,2015-04-09 18:15:00,69,0.03188,20.066,3.25,6.17474,21.336,19.812,16.256,15.24,9.906,557.8,3.347,591.4,3.548,9.144,45.212,45.72,52.07,522,2.25,0.141,324,1.4,0.0872,2.98,0.0128,0.000802,5.77,0.0249,0.00155,,,,,145,16,696960,0.0301756198347107,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2015,"Pre-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Current post-growing season + pre-growing season",1,"Yes"
"USGS-434244090470801","JF2",0,0,0,"Non-Frozen","Storm","2016-1",1,2015-12-14 10:00:00,2015-12-14 16:30:00,12900,2.802,105.41,32.33,3.26136,24.384,21.336,17.272,13.208,12.7,2618,13.61,2881,14.98,0,0,1.27,14.478,353,284,17.8,92,74.1,4.63,1.85,1.49,0.0931,3.28,2.64,0.165,,,,,146,16,696960,5.64152892561983,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2016,"Post-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Previous growing season + current post-growing season",1,"Yes"
"USGS-434244090470801","JF2",0,0,0,"Non-Frozen","Storm","2016-3",1,2016-05-26 11:00:00,2016-05-26 11:30:00,109.3,0.181,37.084,0.75,49.4538,112.776,80.772,82.296,61.468,37.084,1555,37.64,1488,36.02,2.794,2.794,2.794,13.97,1290,8.79,0.549,102,0.696,0.0435,1.31,0.00894,0.000559,3.94,0.0269,0.00168,,,,,147,16,696960,0.0477999311294766,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2016,"Pre-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Current post-growing season + pre-growing season",1,"Yes"
"USGS-434244090470801","JF2",0,0,0,"Non-Frozen","Storm","2016-8",1,2016-06-15 02:15:00,2016-06-15 05:15:00,9527,4.844,39.878,3,13.29182,103.632,100.584,84.328,52.324,30.734,1454,29.96,1452,29.92,0.508,17.018,55.372,84.836,2610,1550,96.9,336,200,12.5,4.62,2.75,0.172,13.8,8.21,0.513,,,,,148,16,696960,4.16642217630854,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2016,"Growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Current crop",0,"Current pre-growing season + growing season",,
"USGS-434244090470801","JF2",0,0,0,"Non-Frozen","Storm","2016-9",1,2016-06-30 20:15:00,2016-06-30 21:00:00,420.3,0.5179,33.274,0.6667,49.911,179.832,153.924,115.824,64.516,33.274,1380,35.06,1346,34.19,0,0,15.748,17.018,3000,78.8,4.93,96,2.52,0.157,2.17,0.0569,0.00356,4.36,0.114,0.00715,,,,,149,16,696960,0.183808884297521,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2016,"Growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Current crop",0,"Current pre-growing season + growing season",,
"USGS-434244090470801","JF2",0,0,0,"Non-Frozen","Storm","2016-14",1,2016-09-07 11:45:00,2016-09-07 13:30:00,2918,1.92,63.754,12.5,5.10032,85.344,60.96,49.784,38.1,20.32,2137,32.05,2127,31.91,2.032,5.334,5.334,55.626,1430,260,16.2,346,63,3.94,7.39,1.35,0.0841,16.1,2.93,0.183,,,,,150,16,696960,1.27612258953168,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2016,"Growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Current crop",0,"Current pre-growing season + growing season",,
"USGS-434244090470801","JF2",0,0,0,"Non-Frozen","Storm","2016-17",1,2016-09-22 06:00:00,2016-09-22 22:15:00,50540,9.304,87.122,12.17,7.16026,51.816,51.816,48.768,40.132,28.448,2640,41.71,2726,43.08,39.624,39.878,70.612,129.032,364,1150,71.8,118,372,23.3,2.28,7.19,0.45,3.58,11.3,0.706,,,,,151,16,696960,22.1025482093664,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2016,"Growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Current crop",0,"Current pre-growing season + growing season",,
"USGS-434244090470801","JF2",0,0,0,"Frozen","Storm","2017-2",3,2017-01-20 05:30:00,2017-01-25 01:00:00,13900,0.1553,5.334,84.17,0.063373,3.048,3.048,3.048,2.54,2.032,82.55,0.08255,79.61,0.07961,1.778,2.794,11.43,18.796,563,488,30.5,119,103,6.44,0.799,0.693,0.0433,1.81,1.57,0.0984,,,,,152,16,696960,6.07885674931129,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2017,"Pre-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Current post-growing season + pre-growing season",1,"Yes"
"USGS-434244090470801","JF2",1,0,0,"Non-Frozen","Storm","2017-7",1,2017-03-07 03:45:00,2017-03-07 05:30:00,385.3,0.1369,16.256,1.25,13.0048,67.056,47.244,36.576,23.368,15.24,566,5.207,564.7,5.195,0.762,0.762,5.08,6.35,3530,84.9,5.31,646,15.5,0.971,9.97,0.24,0.015,30.9,0.743,0.0465,,,,,153,16,696960,0.16850241046832,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2017,"Pre-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Current post-growing season + pre-growing season",1,"Yes"
"USGS-434244090470801","JF2",0,0,0,"Non-Frozen","Storm","2017-9",1,2017-05-17 22:30:00,2017-05-18 00:15:00,843.8,0.5966,15.494,0.25,61.976,85.344,79.248,57.912,30.988,15.494,646.7,7.89,631.6,7.706,2.286,74.676,75.946,91.186,1520,80.1,5,290,15.3,0.955,2.78,0.146,0.00915,6.88,0.362,0.0227,,,,,154,16,696960,0.369017217630854,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2017,"Pre-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Current post-growing season + pre-growing season",1,"Yes"
"USGS-434244090470801","JF2",0,0,0,"Non-Frozen","Storm","2017-13",1,2017-07-22 01:30:00,2017-07-22 04:30:00,11360,6.826,10.16,1.667,6.096,27.432,19.812,16.256,13.716,9.906,312.4,1.687,316.4,1.708,18.034,106.172,123.444,191.262,1160,824,51.5,228,162,10.1,4.12,2.92,0.183,8.03,5.69,0.356,,,,,155,16,696960,4.96804407713499,"Surface","Beef","Grass Pasture","Pasture/Hay","Pasture/Hay","No",,"Pepin silt loam","High-infiltration","Well drained",8.6,0.225,2017,"Growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Current crop",0,"Current pre-growing season + growing season",,
"USGS-434311090461401","JF4",0,0,0,"Frozen","Storm","2011-2",1,2011-02-17 12:00:00,2011-02-18 19:30:00,28490,0.928,0.254,,,,,,,,,,,,0,0,0,0,28,49.8,3.56,94,167,11.9,0.601,1.07,0.0764,0.719,1.28,0.0914,,,,,156,14,609840,14.2393939393939,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2011,"Pre-growing season",0.95,0.2,0.2,0,0,,0.95,0.75,0.75,0.75,0.75,0.75,"Previous crop",0.2,"Current post-growing season + pre-growing season",0.75,"Partial"
"USGS-434311090461401","JF4",0,0,0,"Frozen","Storm","2011-3",1,2011-03-15 19:45:00,2011-03-16 02:15:00,484.1,0.04839,0,,,,,,,,,,,,0,0,0,3.81,3,0.0907,0.00648,48,1.45,0.104,0.184,0.00556,0.000397,0.313,0.00946,0.000676,,,,,157,14,609840,0.24195474222747,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2011,"Pre-growing season",0.95,0.2,0.2,0,0,,0.95,0.75,0.75,0.75,0.75,0.75,"Previous crop",0.2,"Current post-growing season + pre-growing season",0.75,"Partial"
"USGS-434311090461401","JF4",0,0,0,"Frozen","Storm","2011-5",1,2011-03-16 18:00:00,2011-03-18 08:45:00,18660,0.3314,0.254,,,,,,,,,,,,0,0,0,3.81,3,3.49,0.25,48,55.9,3.99,0.298,0.347,0.0248,0.376,0.438,0.0313,,,,,158,14,609840,9.32632821723731,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2011,"Pre-growing season",0.95,0.2,0.2,0,0,,0.95,0.75,0.75,0.75,0.75,0.75,"Previous crop",0.2,"Current post-growing season + pre-growing season",0.75,"Partial"
"USGS-434311090461401","JF4",0,0,0,"Frozen","Storm","2011-6",1,2011-03-18 20:30:00,2011-03-19 03:15:00,643.4,0.06092,0,,,,,,,,,,,,0,0.254,0.254,0.254,2,0.0402,0.00287,56,2.25,0.161,0.275,0.011,0.000789,0.336,0.0135,0.000964,"<",,,,159,14,609840,0.321573396300669,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2011,"Pre-growing season",0.95,0.2,0.2,0,0,,0.95,0.75,0.75,0.75,0.75,0.75,"Previous crop",0.2,"Current post-growing season + pre-growing season",0.75,"Partial"
"USGS-434311090461401","JF4",0,0,0,"Non-Frozen","Storm","2011-7",1,2011-03-20 11:15:00,2011-03-20 23:45:00,6848,0.5354,21.844,7.55,2.89306,9.144,9.144,8.128,7.112,5.588,467.4,1.309,554.9,1.554,0.508,0.508,0.762,0.762,13,5.56,0.397,106,45.3,3.24,0.299,0.128,0.00913,0.42,0.18,0.0128,,,,,160,14,609840,3.42265249901613,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2011,"Pre-growing season",0.95,0.2,0.2,0,0,,0.95,0.75,0.75,0.75,0.75,0.75,"Previous crop",0.2,"Current post-growing season + pre-growing season",0.75,"Partial"
"USGS-434311090461401","JF4",0,0,0,"Non-Frozen","Storm","2011-8",2,2011-03-22 09:45:00,2011-03-23 08:00:00,20260,1.282,41.656,18.72,2.225548,30.48,19.812,14.224,10.668,7.112,1099,4.617,1153,4.843,0,21.844,22.606,22.606,20.4,25.9,1.85,121,153,10.9,0.263,0.332,0.0237,0.375,0.474,0.0339,,,,,161,14,609840,10.1260133805588,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2011,"Pre-growing season",0.95,0.2,0.2,0,0,,0.95,0.75,0.75,0.75,0.75,0.75,"Previous crop",0.2,"Current post-growing season + pre-growing season",0.75,"Partial"
"USGS-434311090461401","JF4",0,0,0,"Frozen","Storm","2012-4",1,2012-02-28 23:15:00,2012-03-01 09:30:00,28680,1.952,0,,,,,,,,,,,,0,0,0,0,15,26.9,1.92,122,218,15.6,0.568,1.02,0.0727,0.8,1.43,0.102,,,,,162,14,609840,14.3343565525384,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2012,"Pre-growing season",0.95,,,,,0,0.95,0.75,0.45,0.75,0.75,0.75,"Previous crop",,"Current post-growing season + pre-growing season",0.75,"Partial"
"USGS-434311090461401","JF4",0,0,0,"Frozen","Storm","2012-5",1,2012-03-06 16:30:00,2012-03-07 13:15:00,16280,1.542,0,,,,,,,,,,,,0,0,0,0,34,34.6,2.47,126,128,9.15,1.3,1.32,0.0945,1.7,1.73,0.123,,,,,163,14,609840,8.13679653679654,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2012,"Pre-growing season",0.95,,,,,0,0.95,0.75,0.45,0.75,0.75,0.75,"Previous crop",,"Current post-growing season + pre-growing season",0.75,"Partial"
"USGS-434311090461401","JF4",0,0,0,"Non-Frozen","Storm","2012-7",1,2012-04-20 01:30:00,2012-04-20 06:30:00,2341,0.3468,40.894,13.5,3.03022,15.24,12.192,11.176,8.128,6.096,884.2,2.829,1043,3.337,0,2.032,50.8,51.054,13,1.9,0.136,154,22.5,1.61,0.74,0.108,0.00773,0.96,0.14,0.01,,,,,164,14,609840,1.17003935458481,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2012,"Pre-growing season",0.95,,,,,0,0.95,0.75,0.45,0.75,0.75,0.75,"Previous crop",,"Current post-growing season + pre-growing season",0.75,"Partial"
"USGS-434311090461401","JF4",0,0,0,"Non-Frozen","Storm","2012-9",1,2012-05-03 12:45:00,2012-05-03 16:00:00,9858,3.618,12.446,4.217,2.95148,73.152,48.768,33.528,21.336,11.176,438.3,3.682,435.8,3.661,18.542,29.718,45.72,92.964,2530,1560,111,110,67.7,4.84,0.689,0.424,0.0303,3.91,2.41,0.172,,,,,165,14,609840,4.92706021251476,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2012,"Pre-growing season",0.95,,,,,0,0.95,0.75,0.45,0.75,0.75,0.75,"Previous crop",,"Current post-growing season + pre-growing season",0.75,"Partial"
"USGS-434311090461401","JF4",0,0,0,"Frozen","Storm","2013-1",1,2013-01-29 06:30:00,2013-01-30 20:15:00,13190,0.4123,5.334,6.583,0.81026,33.528,18.288,12.192,6.096,3.556,150.5,0.3613,148.4,0.3561,0.762,0.762,0.762,0.762,14,11.5,0.823,128,105,7.53,0.823,0.677,0.0484,1.07,0.881,0.0629,,,,,166,14,609840,6.59240456513184,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2013,"Pre-growing season",0.95,,,,,,0.95,0.45,0.5,0.55,0.55,0.45,"Previous crop",,"Current post-growing season + pre-growing season",0.55,"Partial"
"USGS-434311090461401","JF4",0,0,0,"Frozen","Storm","2013-4",5,2013-03-27 22:30:00,2013-04-05 22:30:00,125700,1.905,4.318,4.567,0.945642,6.096,6.096,5.08,4.064,3.302,85.3,0.1365,100.2,0.1603,0,0,0,0,10.7,83.9,5.99,77.5,608,43.4,0.503,3.95,0.282,0.81,6.36,0.454,,,,,167,14,609840,62.8252656434475,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2013,"Pre-growing season",0.95,,,,,,0.95,0.45,0.5,0.55,0.55,0.45,"Previous crop",,"Current post-growing season + pre-growing season",0.55,"Partial"
"USGS-434311090461401","JF4",0,0,0,"Non-Frozen","Storm","2013-7",1,2013-04-10 04:15:00,2013-04-10 12:00:00,8864,1.41,32.004,6.833,4.68376,39.624,27.432,20.32,16.764,13.208,994.7,6.565,997.2,6.582,21.844,25.654,29.718,34.036,32,17.7,1.26,50,27.7,1.98,0.368,0.204,0.0145,0.615,0.34,0.0243,,,,,168,14,609840,4.43025580480126,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2013,"Pre-growing season",0.95,,,,,,0.95,0.45,0.5,0.55,0.55,0.45,"Previous crop",,"Current post-growing season + pre-growing season",0.55,"Partial"
"USGS-434311090461401","JF4",0,0,0,"Non-Frozen","Storm","2013-9",1,2013-04-15 03:45:00,2013-04-15 08:45:00,4503,0.664,12.954,3.333,3.8862,9.144,7.62,8.128,6.604,6.096,290.8,0.7561,340.6,0.8856,10.922,10.922,70.866,74.93,9,2.53,0.181,110,30.9,2.21,0.433,0.122,0.00869,0.508,0.143,0.0102,,,,,169,14,609840,2.25061393152302,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2013,"Pre-growing season",0.95,,,,,,0.95,0.45,0.5,0.55,0.55,0.45,"Previous crop",,"Current post-growing season + pre-growing season",0.55,"Partial"
"USGS-434311090461401","JF4",0,0,0,"Non-Frozen","Storm","2013-10",1,2013-05-21 06:00:00,2013-05-21 09:15:00,3959,0.934,40.64,4.533,8.96366,88.392,59.436,45.72,30.48,21.844,1521,18.25,1484,17.81,10.668,10.668,36.83,62.23,78,19.3,1.38,204,50.4,3.6,1.92,0.475,0.0339,2.47,0.61,0.0436,,,,,170,14,609840,1.9787209759937,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2013,"Pre-growing season",0.95,,,,,,0.95,0.45,0.5,0.55,0.55,0.45,"Previous crop",,"Current post-growing season + pre-growing season",0.55,"Partial"
"USGS-434311090461401","JF4",0,0,0,"Non-Frozen","Storm","2013-11",1,2013-05-30 00:15:00,2013-05-30 07:30:00,19280,1.356,41.91,5.233,8.00862,94.488,71.628,51.816,32.004,19.304,1310,16.5,1364,17.19,0,1.524,26.67,112.776,89,107,7.65,186,224,16,1.65,1.99,0.142,2.06,2.48,0.177,,,,,171,14,609840,9.6362062180244,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2013,"Pre-growing season",0.95,,,,,,0.95,0.45,0.5,0.55,0.55,0.45,"Previous crop",,"Current post-growing season + pre-growing season",0.55,"Partial"
"USGS-434311090461401","JF4",1,0,0,"Non-Frozen","Storm","2013-15",1,2013-06-13 02:15:00,2013-06-13 04:30:00,1992,0.71,14.986,5.533,2.70764,39.624,36.576,33.528,19.812,10.668,497.5,3.88,482.8,3.766,5.08,5.334,34.29,103.886,888,110,7.89,190,23.6,1.69,0.634,0.0788,0.00563,2.59,0.322,0.023,,,,,172,14,609840,0.995608028335301,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2013,"Growing season",0.95,,,,,,0.95,0.45,0.5,0.55,0.55,0.5,"Current crop",,"Current pre-growing season + growing season",,
"USGS-434311090461401","JF4",0,0,0,"Non-Frozen","Storm","2013-16",2,2013-06-23 01:45:00,2013-06-23 11:00:00,22270,5.06,36.068,8.55,4.21894,70.104,39.624,27.432,22.86,17.018,1190,10.71,1178,10.61,10.16,27.432,27.432,79.502,318,442,31.6,160,222,15.9,0.932,1.3,0.0926,1.9,2.64,0.188,,,,,173,14,609840,11.1306178669815,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2013,"Growing season",0.95,,,,,,0.95,0.45,0.5,0.55,0.55,0.5,"Current crop",,"Current pre-growing season + growing season",,
"USGS-434311090461401","JF4",0,0,0,"Non-Frozen","Storm","2013-17",1,2013-06-25 08:00:00,2013-06-25 12:30:00,7634,1.45,19.05,5.533,3.4417,27.432,22.86,17.272,11.176,9.398,540.3,2.377,556.1,2.447,0,11.176,63.5,99.822,102,48.6,3.47,158,75.3,5.38,0.818,0.39,0.0278,1.25,0.596,0.0426,,,,,174,14,609840,3.81549783549784,"Surface","Dairy","Corn-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"NewGlarus silt loam","Moderate-infiltration","Well drained",5.2,0.265,2013,"Growing season",0.95,,,,,,0.95,0.45,0.5,0.55,0.55,0.5,"Current crop",,"Current pre-growing season + growing season",,
